Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
115,15.0,0.19583333333333278,3.4599999999999995,28.68317070801653,51.89999999999999,3.0,3.375,1.6306041666666666
116,15.0,0.1966666666666661,3.4609999999999994,28.70835296511604,51.91499999999999,3.0,3.375,1.645025
117,15.0,0.19749999999999943,3.4619999999999993,28.733434832282036,51.92999999999999,3.0,3.375,1.6594499999999999
118,15.0,0.19833333333333275,3.462999999999999,28.758416709722443,51.944999999999986,3.0,3.375,1.6738791666666666
119,15.0,0.19916666666666608,3.4639999999999995,28.783298996049737,51.959999999999994,3.0,3.375,1.6883124999999999
120,15.0,0.1999999999999994,3.4649999999999994,28.808082088287314,51.974999999999994,3.0,3.375,1.70275
121,15.0,0.20083333333333273,3.4659999999999993,28.83276638187582,51.98999999999999,3.0,3.375,1.7171916666666667
122,15.0,0.20166666666666605,3.466999999999999,28.85735227067947,52.00499999999999,3.0,3.375,1.7316375
123,15.0,0.20249999999999937,3.4679999999999995,28.881840146992317,52.019999999999996,3.0,3.375,1.7460875
124,15.0,0.2033333333333327,3.4689999999999994,28.906230401544526,52.03499999999999,3.0,3.375,1.7605416666666667
125,15.0,0.20416666666666602,3.4699999999999993,28.930523423508603,52.04999999999999,3.0,3.375,1.775
126,15.0,0.20499999999999935,3.470999999999999,28.9547196005056,52.06499999999999,3.0,3.375,1.7894625
127,15.0,0.20583333333333267,3.471999999999999,28.97881931861131,52.079999999999984,3.0,3.375,1.8039291666666666
128,15.0,0.206666666666666,3.4729999999999994,29.00282296236242,52.09499999999999,3.0,3.375,1.8184
129,15.0,0.20749999999999932,3.4739999999999993,29.02673091476264,52.10999999999999,3.0,3.375,1.832875
130,15.0,0.20833333333333265,3.474999999999999,29.050543557288837,52.124999999999986,3.0,3.375,1.8473541666666666
131,15.0,0.20916666666666597,3.475999999999999,29.074261269897093,52.139999999999986,3.0,3.375,1.8618375
132,15.0,0.2099999999999993,3.4769999999999994,29.097884431028792,52.154999999999994,3.0,3.375,1.876325
133,15.0,0.21083333333333262,3.4779999999999993,29.121413417616647,52.16999999999999,3.0,3.375,1.8908166666666666
134,15.0,0.21166666666666595,3.478999999999999,29.14484860509071,52.18499999999999,3.0,3.375,1.9053125
135,15.0,0.21249999999999927,3.479999999999999,29.16819036738438,52.19999999999999,3.0,3.375,1.9198125
136,15.0,0.2133333333333326,3.4809999999999994,29.19143907694034,52.21499999999999,3.0,3.375,1.9343166666666667
137,15.0,0.21416666666666592,3.4819999999999993,29.214595104716537,52.22999999999999,3.0,3.375,1.948825
138,15.0,0.21499999999999925,3.482999999999999,29.237658820192063,52.24499999999999,3.0,3.375,1.9633375
139,15.0,0.21583333333333257,3.483999999999999,29.260630591373083,52.259999999999984,3.0,3.375,1.9778541666666667
140,15.0,0.2166666666666659,3.484999999999999,29.283510784798686,52.274999999999984,3.0,3.375,1.992375
141,15.0,0.21749999999999922,3.4859999999999993,29.306299765546743,52.28999999999999,3.0,3.375,2.0069
142,15.0,0.21833333333333255,3.486999999999999,29.328997897239727,52.304999999999986,3.0,3.375,2.0214291666666666
143,15.0,0.21916666666666587,3.487999999999999,29.351605542050518,52.319999999999986,3.0,3.375,2.0359625
144,15.0,0.2199999999999992,3.488999999999999,29.374123060708182,52.33499999999999,3.0,3.375,2.0505
145,15.0,0.22083333333333252,3.489999999999999,29.39655081250373,52.34999999999998,3.0,3.375,2.0650416666666667
146,15.0,0.22166666666666585,3.490999999999999,29.41888915529584,52.36499999999999,3.0,3.375,2.0795875
147,15.0,0.22249999999999917,3.491999999999999,29.44113844551658,52.37999999999999,3.0,3.375,2.0941375
